año,municipio,departamento,categoria,grupo_especifico,tipo_violencia,lat,lon
2015,TIMBIQUI,CAUCA,DESCONOCIDO,,AT_Atentados_Terroristas,2.699475127,-77.49131576
2015,FLORIDA,VALLE DEL CAUCA,GUERRILLA,FARC,AT_Atentados_Terroristas,3.304104295,-76.16477307
2015,SAN ANDRES DE TUMACO,NARIÑO,GUERRILLA,FARC,AT_Atentados_Terroristas,1.574550638,-78.61540963
2015,FORTUL,ARAUCA,GUERRILLA,,AT_Atentados_Terroristas,6.750907234,-71.79124241
2015,LA VEGA,CAUCA,GRUPO ARMADO NO IDENTIFICADO,,AT_Atentados_Terroristas,2.053933426,-76.7588062
1965,CUCUTA,NORTE DE SANTANDER,GUERRILLA,ELN,AT_Atentados_Terroristas,7.905613,-72.508577
1965,POPAYAN,CAUCA,DESCONOCIDO,,AT_Atentados_Terroristas,2.482561,-76.57422
1965,"BOGOTA, D.C.","BOGOTA, D. C.",DESCONOCIDO,,AT_Atentados_Terroristas,4.650173,-74.107359
2003,SARAVENA,ARAUCA,GUERRILLA,FARC,AT_Atentados_Terroristas,6.906941714,-71.85070757
1965,"BOGOTA, D.C.","BOGOTA, D. C.",DESCONOCIDO,,AT_Atentados_Terroristas,4.650173,-74.107359
1965,"BOGOTA, D.C.","BOGOTA, D. C.",BANDOLERISMO,,AT_Atentados_Terroristas,4.650173,-74.107359
1965,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,ELN,AT_Atentados_Terroristas,4.650173,-74.107359
2001,GRAMALOTE,NORTE DE SANTANDER,GUERRILLA,ELN,AT_Atentados_Terroristas,7.916946,-72.787233
2009,CACERES,ANTIOQUIA,GRUPO ARMADO NO IDENTIFICADO,,AT_Atentados_Terroristas,7.665155105,-75.22369744
2012,ALGECIRAS,HUILA,GUERRILLA,FARC,AT_Atentados_Terroristas,2.49785068,-75.29134946
2003,PEÑOL,ANTIOQUIA,DESCONOCIDO,,AT_Atentados_Terroristas,6.232396368,-75.22350905
2003,SANTIAGO DE CALI,VALLE DEL CAUCA,DESCONOCIDO,,AT_Atentados_Terroristas,3.399043723,-76.57649259
2003,TARAZA,ANTIOQUIA,GRUPO ARMADO NO DIRIMIDO,,AT_Atentados_Terroristas,7.570756,-75.470728
2012,EL CHARCO,NARIÑO,GRUPO ARMADO NO IDENTIFICADO,PRESENCIA GAO SIN ATRIBUCIÓN,AT_Atentados_Terroristas,2.216382295,-77.99533234
2013,INZA,CAUCA,GUERRILLA,FARC,AT_Atentados_Terroristas,2.549183,-76.063503
1999,TIBU,NORTE DE SANTANDER,GRUPO PARAMILITAR,,AT_Atentados_Terroristas,8.998278492,-72.89972106
1992,BARBOSA,ANTIOQUIA,GUERRILLA,COORDINADORA GUERRILLERA SIMÓN BOLÍVAR,AT_Atentados_Terroristas,6.439195,-75.331627
1982,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,M19,AT_Atentados_Terroristas,4.316107698,-74.1810727
1997,MEDELLIN,ANTIOQUIA,OTRO ¿CUÁL?,,AT_Atentados_Terroristas,6.250063,-75.578661
1997,APARTADO,ANTIOQUIA,GUERRILLA,FARC,AT_Atentados_Terroristas,7.86047815,-76.58236264
1997,PUERTO RICO,CAQUETA,GUERRILLA,FARC,AT_Atentados_Terroristas,2.018940891,-75.07308627
2003,SAN VICENTE DEL CAGUAN,CAQUETA,GUERRILLA,FARC,AT_Atentados_Terroristas,2.11965,-74.766451
2003,FLORENCIA,CAQUETA,GUERRILLA,FARC,AT_Atentados_Terroristas,1.749138704,-75.55823906
2003,FLORENCIA,CAQUETA,GUERRILLA,FARC,AT_Atentados_Terroristas,1.618234,-75.609796
2011,CALDONO,CAUCA,GUERRILLA,FARC,AT_Atentados_Terroristas,2.785615005,-76.51863329
2012,EL TARRA,NORTE DE SANTANDER,GUERRILLA,FARC,AT_Atentados_Terroristas,8.574281,-73.09614
2012,SANDONA,NARIÑO,GUERRILLA,FARC,AT_Atentados_Terroristas,1.286137,-77.469571
2012,BUENAVENTURA,VALLE DEL CAUCA,GUERRILLA,FARC,AT_Atentados_Terroristas,3.875708,-77.01074
2012,TAME,ARAUCA,GUERRILLA,FARC,AT_Atentados_Terroristas,6.390650479,-71.79178647
2014,SAN ANDRES DE CUERQUIA,ANTIOQUIA,GUERRILLA,FARC,AT_Atentados_Terroristas,6.912558,-75.676008
2014,SAN DIEGO,CESAR,GUERRILLA,,AT_Atentados_Terroristas,10.24429187,-73.14473008
2002,LA JAGUA DEL PILAR,LA GUAJIRA,GUERRILLA,FARC,AT_Atentados_Terroristas,10.4580941,-73.07209193
2011,EL CHARCO,NARIÑO,GUERRILLA,FARC,AT_Atentados_Terroristas,2.216382295,-77.99533234
2012,PATIA,CAUCA,GUERRILLA,FARC,AT_Atentados_Terroristas,2.115875,-76.981075
2017,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,OTRA,AT_Atentados_Terroristas,4.650173,-74.107359
2001,GRANADA,META,GUERRILLA,FARC,AT_Atentados_Terroristas,3.551865,-73.712572
2009,PUERTO BERRIO,ANTIOQUIA,GRUPO POSDESMOVILIZACIÓN,,AT_Atentados_Terroristas,6.481922267,-74.5287421
2011,TUQUERRES,NARIÑO,GRUPO ARMADO NO IDENTIFICADO,,AT_Atentados_Terroristas,1.134440523,-77.63073238
